Class,Order,Taxon,T,BM,Tb min,TMRmin,TMRrel,TBDmax,TBDmean,IBE,LAT,References
MAMMALIA,Rodentia,Nycteris thebaica,DT,0.011,27,—,—,—,—,—,1.28,Cory Toussaint & McKechnie (2012)
MAMMALIA,Rodentia,Nyctimene albiventer,DT,0.028,25.5,0.67,47,—,—,—,−4.02,"Bartholomew, Dawson & Lasiewski"
MAMMALIA,Rodentia,Nyctophilus bifax,HIB,0.01,7.3,0.046,3,129,27,3,−16.48,"Stawski, Turbill & Geiser (2009) and"
MAMMALIA,Rodentia,Nyctophilus geoffroyi,HIB,0.007,1.4,0.037,3,362,106,3,−27.37,Geiser & Brigham (2000) and Turbill &
MAMMALIA,Rodentia,Nyctophilus gouldi,HIB,0.01,2.3,0.052,4,259,106,3,−33.54,Geiser & Brigham (2000) and Turbill &
MAMMALIA,Rodentia,Pipistrellus pipistrellus,HIB,0.0074,3,0.024,1,—,—,—,43.44,Kayser (1964) and Kulzer (1965)
MAMMALIA,Rodentia,Pipistrellus subflavus,HIB,0.005,—,—,—,1800,607,1.5,31.01,Brack & Twente (1985) and French
MAMMALIA,Rodentia,Plecotus auritus,HIB,0.01,−2,—,—,—,—,—,44.65,Eisentraut (1956)
MAMMALIA,Rodentia,Rhinolophus ferrumequinum,HIB,0.023,9,—,—,432,104,4.3,38.48,"Kulzer (1965) and Park, Jones &"
MAMMALIA,Rodentia,Rhinolophus hipposideros,HIB,0.006,—,—,—,2064,427,—,31.68,Harmata (1987)
MAMMALIA,Rodentia,Rhinopoma microphyllum,HIB,0.01,23,—,—,—,—,—,18.84,Kulzer (1965) and Levin et al. (2010)
MAMMALIA,Rodentia,Scotophilus dinganii,DT,0.029,18.5,—,—,19,15,—,−8.02,Jacobs et al. (2007)
MAMMALIA,Rodentia,Scotophilus mhlanganii,DT,0.028,17.2,—,—,18.5,17.2,—,−6,Jacobs et al. (2007)
MAMMALIA,Rodentia,Sturnira lilium,DT,0.016,22,0.5,25,—,—,—,−2.47,Audet & Thomas (1997)
MAMMALIA,Rodentia,Syconycteris australis,DT,0.018,17.2,0.47,36,8.2,7.3,—,−16.55,Coburn & Geiser (1998)
MAMMALIA,Rodentia,Tadarida aegyptiaca,HIB,0.017,6,—,—,228,—,—,1.12,"Cory Toussaint, McKechnie & van der"
MAMMALIA,Rodentia,Tadarida brasiliensis,HIB,0.01,9,0.06,3,—,—,—,1.23,Herreid (1963) and Herreid &
MAMMALIA,Rodentia,Tadarida teniotis,HIB,0.035,6.7,0.04,4,192,528,4.5,35.4,Arlettaz et al. (2000) and Marom et al.
MAMMALIA,Rodentia,Vespadelus vulturnus,HIB,0.004,5,0.014,1.3,—,—,—,−34.21,"Willis, Turbill & Geiser (2005b)"
MAMMALIA,Rodentia,Atelerix algirus,HIB,0.63,9.7,—,—,168,84,16,33.74,Mouhoub-Sayah et al. (2008)
MAMMALIA,Rodentia,Atelerix frontalis,HIB,0.4,1,—,—,116,22,12,−23.03,Hallam & Mzilikazi (2011)
MAMMALIA,Rodentia,Crocidura flavescens,DT,0.032,19,—,—,—,—,—,−30.94,Baxter (1996)
MAMMALIA,Rodentia,Crocidura leucodon,DT,0.012,18.6,—,—,—,—,—,42.54,Nagel (1985)
MAMMALIA,Rodentia,Crocidura russula,DT,0.01,17.9,0.9,38,3,—,—,40.48,"Nagel (1977, 1985)"
MAMMALIA,Rodentia,Crocidura suaveolens,DT,0.008,21.6,—,—,—,—,—,45,Nagel (1985)
MAMMALIA,Rodentia,Erinaceus europaeus,HIB,0.7,5.4,0.01,2.5,288,213,22.1,53.78,Kristoffersson & Soivio (1964) and
MAMMALIA,Rodentia,Notiosorex crawfordi,DT,0.004,27.4,1.42,43,—,—,—,31,Lindstedt (1980)
MAMMALIA,Rodentia,Sorex sinuosus,DT,0.0078,—,1.3,28,1,—,—,31.46,Newman & Rudd (1978)
MAMMALIA,Rodentia,Suncus etruscus,DT,0.002,12,0.6,10,7.6,2,—,28.2,"Vogel (1974) and Frey (1979, 1980)"
MAMMALIA,Rodentia,Zaedyus pichiy,HIB,1.1,12.5,—,—,112,75,—,−40.89,Superina & Boily (2007)
MAMMALIA,Rodentia,Amblysomus hottentotus,HIB,0.075,8.6,—,—,96,78,—,−29.74,Scantlebury et al. (2008)
MAMMALIA,Rodentia,Echinops telfairi,HIB,0.085,11,0.026,2,264,162,—,−22.58,"Dryden, Gȩbczyński & Douglas (1974)"
MAMMALIA,Rodentia,Geogale aurita,DT,0.006,16,0.15,13,—,—,—,−22.55,Stephenson & Racey (1993a)
MAMMALIA,Rodentia,Microgale dobsoni,DT,0.045,20,0.22,24,—,—,—,−18.56,Stephenson & Racey (1993b)
MAMMALIA,Rodentia,Setifer setosus,HIB,0.32,13,0.014,4,3600,—,—,−18.96,"Kayser (1964), Hildwein (1970) and"
MAMMALIA,Rodentia,Tenrec ecaudatus,HIB,0.65,15,0.027,9,6480,—,—,−18.96,"F. Lachiver cited in Kayser (1961),"
MAMMALIA,Macroscelidea,Elephantulus edwardii,HIB,0.045,9.3,—,—,44,17.3,—,−31.59,Geiser & Mzilikazi (2011)
MAMMALIA,Macroscelidea,Elephantulus myurus,HIB,0.057,5.5,0.078,7,39,8.8,—,−23.07,"Lovegrove et al. (2001), Mzilikazi &"
MAMMALIA,Macroscelidea,Elephantulus rozeti,DT,0.045,5.1,0.023,2,20.1,13.6,—,32.6,Lovegrove et al. (2001)
MAMMALIA,Macroscelidea,Elephantulus rupestris,DT,0.06,12,—,—,12,5,—,−25.59,Oelkrug et al. (2012)
MAMMALIA,Macroscelidea,Macroscelides proboscideus,DT,0.046,9.4,—,—,18,10.7,—,−26.24,"Lovegrove, Lawes & Roxburgh (1999)"
MAMMALIA,Diprodontia,Acrobates pygmaeus,HIB,0.011,1.6,0.056,5,192,85,—,−24.91,Fleming (1985) and Geiser & Ferguson
MAMMALIA,Diprodontia,Burramys parvus,HIB,0.063,1.8,0.025,2,480,342,—,−36.29,Geiser & Broome (1991)
MAMMALIA,Diprodontia,Cercartetus concinnus,HIB,0.018,4.7,0.046,4,264,102,—,−33.82,Geiser (1987)
MAMMALIA,Diprodontia,Cercartetus lepidus,HIB,0.012,5.9,0.052,3,144,—,—,−38.97,Geiser (1987)
MAMMALIA,Diprodontia,Cercartetus nanus,HIB,0.02,1.3,0.018,2.7,840,101,—,−35.06,"Geiser (1993), Song et al. (1997) and"
MAMMALIA,Diprodontia,Petaurus breviceps,DT,0.13,10.4,0.07,9.5,23,13,—,−20.7,Fleming (1980) and Körtner & Geiser
MAMMALIA,Diprodontia,Tarsipes rostratus,DT,0.01,5.4,0.15,5,14.4,10.5,—,−31.3,"Collins, Wooller & Richardson (1987)"
MAMMALIA,Microbiotheria,Dromiciops gliroides,HIB,0.0402,7.1,0.03,3.8,144,120,—,−39.86,Grant & Temple-Smith (1987);
MAMMALIA,Dasyuromorphia,Antechinomys laniger,DT,0.027,11,0.14,13,16,11.5,—,−27.09,Geiser (1986)
MAMMALIA,Dasyuromorphia,Antechinus flavipes,DT,0.026,24.5,0.48,46,5.5,2,—,−26.92,Geiser (1988)
MAMMALIA,Dasyuromorphia,Antechinus stuartii,DT,0.026,19.9,0.66,62,9,4,—,−26.74,Geiser (1988)
MAMMALIA,Dasyuromorphia,Dasykaluta rosamondae,DT,0.027,21,—,—,16.4,12.3,—,−22.58,"Körtner, Rojas & Geiser (2010)"
MAMMALIA,Dasyuromorphia,Dasyuroides byrnei,DT,0.12,20.4,0.4,54,7.5,2.7,—,−26.08,Geiser & Baudinette (1987)
MAMMALIA,Dasyuromorphia,Dasyurus geoffroii,DT,1,23.1,—,—,—,—,—,−33.17,Arnold (1976)
MAMMALIA,Dasyuromorphia,Dasyurus hallucatus,DT,0.516,28.4,—,—,—,—,—,−18,Cooper & Withers (2010)
MAMMALIA,Dasyuromorphia,Dasyurus viverrinus,DT,1,25,—,—,—,—,—,−41.61,Moyle in Reardon (1999)
MAMMALIA,Dasyuromorphia,Myrmecobius fasciatus,DT,0.5,19.1,—,—,15.3,9.7,—,−33.82,Cooper & Withers (2004)
MAMMALIA,Dasyuromorphia,Ningaui yvonnae,DT,0.011,15.3,0.3,23,12.3,7.5,—,−31.98,Geiser & Baudinette (1988)
