Species,Structure,Measure,published,unpublished,pct_diff,flag
Panthera leo,Hippocampus,N,NA,13538056,NA,NA
Panthera leo,Hippocampus,N/mg,NA,3711.089912280702,NA,NA
Panthera leo,Hippocampus,Structure mass (g),NA,3.648,NA,NA
Panthera leo,Rest of brain,C,NA,2165910000,NA,NA
Panthera leo,Rest of brain,I,NA,210743043,NA,NA
Panthera leo,Rest of brain,I/C,NA,0.0973,NA,NA
Panthera leo,Rest of brain,I/N,NA,2.925155154934795,NA,NA
Panthera leo,Rest of brain,I/mg,NA,6168.931649200867,NA,NA
Panthera leo,Rest of brain,N,NA,72045082,NA,NA
Panthera leo,Rest of brain,N/mg,NA,2108.9245945787716,NA,NA
Panthera leo,Rest of brain,Structure mass (g),NA,34.162,NA,NA
Panthera leo,Whole brain,C,NA,17065870250,NA,NA
Panthera leo,Whole brain,I,NA,1129760610.55,NA,NA
Panthera leo,Whole brain,I/C,NA,0.0662,NA,NA
Panthera leo,Whole brain,I/N,NA,0.24207246832377527,NA,NA
Panthera leo,Whole brain,I/mg,NA,5678.729959637289,NA,NA
Panthera leo,Whole brain,N,NA,4667034704,NA,NA
Panthera leo,Whole brain,N/mg,NA,23458.801403395897,NA,NA
Panthera leo,Whole brain,Structure mass (g),NA,198.946,NA,NA
Papio anubis,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,6740084000,NA,NA
Papio anubis,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,257471208.79999998,NA,NA
Papio anubis,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0382,NA,NA
Papio anubis,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.22520109058847365,NA,NA
Papio anubis,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,2772.681550721516,NA,NA
Papio anubis,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,1143294680,NA,NA
Papio anubis,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,12312.025414602627,NA,NA
Papio anubis,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,92.86,NA,NA
Petrodromus tetradactylus,Cerebellum,C,NA,145311000,NA,NA
Petrodromus tetradactylus,Cerebellum,I,NA,1281548.1333333333,NA,NA
Petrodromus tetradactylus,Cerebellum,I/C,NA,0.008466666666666667,NA,NA
Petrodromus tetradactylus,Cerebellum,I/N,NA,0.011212605348604156,NA,NA
Petrodromus tetradactylus,Cerebellum,I/mg,NA,4113.69546117345,NA,NA
Petrodromus tetradactylus,Cerebellum,N,NA,110653149.6,NA,NA
Petrodromus tetradactylus,Cerebellum,N/mg,NA,363021.6981243816,NA,NA
Petrodromus tetradactylus,Cerebellum,Structure mass (g),NA,0.304,NA,NA
Petrodromus tetradactylus,"Cerebral Cx, total - hp",C,NA,60480000,NA,NA
Petrodromus tetradactylus,"Cerebral Cx, total - hp",I,NA,2921851,NA,NA
Petrodromus tetradactylus,"Cerebral Cx, total - hp",I/C,NA,0.04753333333333334,NA,NA
Petrodromus tetradactylus,"Cerebral Cx, total - hp",I/N,NA,0.10422913291393208,NA,NA
Petrodromus tetradactylus,"Cerebral Cx, total - hp",I/mg,NA,2980.5267097007154,NA,NA
Petrodromus tetradactylus,"Cerebral Cx, total - hp",N,NA,27651699,NA,NA
Petrodromus tetradactylus,"Cerebral Cx, total - hp",N/mg,NA,28330.430725131602,NA,NA
Petrodromus tetradactylus,"Cerebral Cx, total - hp",Structure mass (g),NA,0.968,NA,NA
Petrodromus tetradactylus,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,74433000,NA,NA
Petrodromus tetradactylus,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,3745265.166666667,NA,NA
Petrodromus tetradactylus,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.04986666666666667,NA,NA
Petrodromus tetradactylus,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.11494115075465504,NA,NA
Petrodromus tetradactylus,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,3003.7860555942148,NA,NA
Petrodromus tetradactylus,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,32515680.666666668,NA,NA
Petrodromus tetradactylus,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,26089.514703762612,NA,NA
Petrodromus tetradactylus,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,1.2393333333333334,NA,NA
Petrodromus tetradactylus,Hippocampus,C,NA,13953000,NA,NA
Petrodromus tetradactylus,Hippocampus,I,NA,824541.9,NA,NA
Petrodromus tetradactylus,Hippocampus,I/C,NA,0.05923333333333333,NA,NA
Petrodromus tetradactylus,Hippocampus,I/N,NA,0.17329998964138277,NA,NA
Petrodromus tetradactylus,Hippocampus,I/mg,NA,3040.918120743486,NA,NA
Petrodromus tetradactylus,Hippocampus,N,NA,4863981.6,NA,NA
Petrodromus tetradactylus,Hippocampus,N/mg,NA,18093.183037200004,NA,NA
Petrodromus tetradactylus,Hippocampus,Structure mass (g),NA,0.2713333333333333,NA,NA
Petrodromus tetradactylus,Rest of brain,C,NA,40436000,NA,NA
Petrodromus tetradactylus,Rest of brain,I,NA,1648531.7333333332,NA,NA
Petrodromus tetradactylus,Rest of brain,I/C,NA,0.042166666666666665,NA,NA
Petrodromus tetradactylus,Rest of brain,I/N,NA,0.10925070382638273,NA,NA
Petrodromus tetradactylus,Rest of brain,I/mg,NA,1837.894196342267,NA,NA
Petrodromus tetradactylus,Rest of brain,N,NA,16572628.6,NA,NA
Petrodromus tetradactylus,Rest of brain,N/mg,NA,18628.25552716227,NA,NA
Petrodromus tetradactylus,Rest of brain,Structure mass (g),NA,0.894,NA,NA
Petrodromus tetradactylus,Whole brain,C,NA,260180000,NA,NA
Petrodromus tetradactylus,Whole brain,I,NA,6681751.666666667,NA,NA
Petrodromus tetradactylus,Whole brain,I/C,NA,0.025333333333333333,NA,NA
Petrodromus tetradactylus,Whole brain,I/N,NA,0.04129200966875091,NA,NA
Petrodromus tetradactylus,Whole brain,I/mg,NA,2721.9544791225217,NA,NA
Petrodromus tetradactylus,Whole brain,N,NA,159741458.66666666,NA,NA
Petrodromus tetradactylus,Whole brain,N/mg,NA,65410.16848168614,NA,NA
Petrodromus tetradactylus,Whole brain,Structure mass (g),NA,2.437333333333333,NA,NA
Procavia capensis,Cerebellum,C,NA,579378000,NA,NA
Procavia capensis,Cerebellum,I,NA,7838413.800000001,NA,NA
Procavia capensis,Cerebellum,I/C,NA,0.013666666666666667,NA,NA
Procavia capensis,Cerebellum,I/N,NA,0.016098323665545217,NA,NA
Procavia capensis,Cerebellum,I/mg,NA,3840.688062544565,NA,NA
Procavia capensis,Cerebellum,N,NA,489318420,NA,NA
Procavia capensis,Cerebellum,N/mg,NA,241208.25905573476,NA,NA
Procavia capensis,Cerebellum,Structure mass (g),NA,2.058,NA,NA
Procavia capensis,"Cerebral Cx, total - hp",C,NA,488188000,NA,NA
Procavia capensis,"Cerebral Cx, total - hp",I,NA,33100606.73333333,NA,NA
Procavia capensis,"Cerebral Cx, total - hp",I/C,NA,0.06923333333333334,NA,NA
Procavia capensis,"Cerebral Cx, total - hp",I/N,NA,0.20197757288618742,NA,NA
Procavia capensis,"Cerebral Cx, total - hp",I/mg,NA,3600.066276869035,NA,NA
Procavia capensis,"Cerebral Cx, total - hp",N,NA,171217185.66666666,NA,NA
Procavia capensis,"Cerebral Cx, total - hp",N/mg,NA,18698.654022931536,NA,NA
Procavia capensis,"Cerebral Cx, total - hp",Structure mass (g),NA,9.184,NA,NA
Procavia capensis,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,564499437.3333334,NA,NA
Procavia capensis,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,38099954.5408,NA,NA
Procavia capensis,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.06816666666666667,NA,NA
Procavia capensis,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.19768900312321339,NA,NA
Procavia capensis,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,3627.4715233768457,NA,NA
Procavia capensis,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,197909138,NA,NA
Procavia capensis,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,19052.023763666766,NA,NA
Procavia capensis,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,10.477,NA,NA
Procavia capensis,Hippocampus,C,NA,76311437.33333333,NA,NA
Procavia capensis,Hippocampus,I,NA,4993268.2084,NA,NA
Procavia capensis,Hippocampus,I/C,NA,0.0661,NA,NA
Procavia capensis,Hippocampus,I/N,NA,0.18712064433256348,NA,NA
Procavia capensis,Hippocampus,I/mg,NA,3995.130320124375,NA,NA
Procavia capensis,Hippocampus,N,NA,26691952.554733332,NA,NA
Procavia capensis,Hippocampus,N/mg,NA,21346.88600460868,NA,NA
Procavia capensis,Hippocampus,Structure mass (g),NA,1.293,NA,NA
Procavia capensis,Pons + Medulla,C,NA,70350000,NA,NA
Procavia capensis,Pons + Medulla,I,NA,6092310,NA,NA
Procavia capensis,Pons + Medulla,I/C,NA,0.0866,NA,NA
Procavia capensis,Pons + Medulla,I/N,NA,0.2722414335114744,NA,NA
Procavia capensis,Pons + Medulla,I/mg,NA,3779.348635235732,NA,NA
Procavia capensis,Pons + Medulla,N,NA,22378335,NA,NA
Procavia capensis,Pons + Medulla,N/mg,NA,13882.341811414391,NA,NA
Procavia capensis,Pons + Medulla,Structure mass (g),NA,1.612,NA,NA
Procavia capensis,Rest of brain,C,NA,232343000,NA,NA
Procavia capensis,Rest of brain,I,NA,11199838.6,NA,NA
Procavia capensis,Rest of brain,I/C,NA,0.048,NA,NA
Procavia capensis,Rest of brain,I/N,NA,0.16185743226111293,NA,NA
Procavia capensis,Rest of brain,I/mg,NA,2554.974587421283,NA,NA
Procavia capensis,Rest of brain,N,NA,69353697.66666667,NA,NA
Procavia capensis,Rest of brain,N/mg,NA,16312.053005192067,NA,NA
Procavia capensis,Rest of brain,Structure mass (g),NA,4.317,NA,NA
Procavia capensis,Whole brain,C,NA,1376220437.3333333,NA,NA
Procavia capensis,Whole brain,I,NA,57132049.10213333,NA,NA
Procavia capensis,Whole brain,I/C,NA,0.041999999999999996,NA,NA
Procavia capensis,Whole brain,I/N,NA,0.07667145590591294,NA,NA
Procavia capensis,Whole brain,I/mg,NA,3380.002393049643,NA,NA
Procavia capensis,Whole brain,N,NA,756581255.6666666,NA,NA
Procavia capensis,Whole brain,N/mg,NA,45391.100244042456,NA,NA
Procavia capensis,Whole brain,Structure mass (g),NA,16.852,NA,NA
Saguinus midas,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,602884000,NA,NA
Saguinus midas,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,16398444.8,NA,NA
Saguinus midas,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.027200000000000002,NA,NA
Saguinus midas,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.07422658890778583,NA,NA
Saguinus midas,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,3041.2545994065285,NA,NA
Saguinus midas,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,220924133,NA,NA
Saguinus midas,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,40972.57659495549,NA,NA
Saguinus midas,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,5.392,NA,NA
Sarcophilus harrisii,Cerebellum,C,NA,735437500,NA,NA
Sarcophilus harrisii,Cerebellum,I,NA,7722093.750000001,NA,NA
Sarcophilus harrisii,Cerebellum,I/C,NA,0.0105,NA,NA
Sarcophilus harrisii,Cerebellum,I/N,NA,0.012847179738162243,NA,NA
Sarcophilus harrisii,Cerebellum,I/mg,NA,5385.002615062762,NA,NA
Sarcophilus harrisii,Cerebellum,N,NA,601073068.75,NA,NA
Sarcophilus harrisii,Cerebellum,N/mg,NA,419158.34640864714,NA,NA
Sarcophilus harrisii,Cerebellum,Structure mass (g),NA,1.434,NA,NA
Sarcophilus harrisii,"Cerebral Cx, total - hp",C,NA,367941000,NA,NA
Sarcophilus harrisii,"Cerebral Cx, total - hp",I,NA,7248437.699999999,NA,NA
Sarcophilus harrisii,"Cerebral Cx, total - hp",I/C,NA,0.0197,NA,NA
Sarcophilus harrisii,"Cerebral Cx, total - hp",I/N,NA,0.12282667401774713,NA,NA
Sarcophilus harrisii,"Cerebral Cx, total - hp",I/mg,NA,1577.8053330430996,NA,NA
Sarcophilus harrisii,"Cerebral Cx, total - hp",N,NA,59013547,NA,NA
Sarcophilus harrisii,"Cerebral Cx, total - hp",N/mg,NA,12845.787331301697,NA,NA
Sarcophilus harrisii,"Cerebral Cx, total - hp",Structure mass (g),NA,4.594,NA,NA
Sarcophilus harrisii,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,437941000,NA,NA
Sarcophilus harrisii,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,9547113.8,NA,NA
Sarcophilus harrisii,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.0218,NA,NA
Sarcophilus harrisii,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,0.13323621407844394,NA,NA
Sarcophilus harrisii,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,1826.1503060443765,NA,NA
Sarcophilus harrisii,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,71655547,NA,NA
Sarcophilus harrisii,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,13706.110749808722,NA,NA
Sarcophilus harrisii,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,5.228,NA,NA
Sarcophilus harrisii,Hippocampus,C,NA,70000000,NA,NA
Sarcophilus harrisii,Hippocampus,I,NA,2275000,NA,NA
Sarcophilus harrisii,Hippocampus,I/C,NA,0.0325,NA,NA
Sarcophilus harrisii,Hippocampus,I/N,NA,0.1799557032115172,NA,NA
Sarcophilus harrisii,Hippocampus,I/mg,NA,3588.328075709779,NA,NA
Sarcophilus harrisii,Hippocampus,N,NA,12641999.999999998,NA,NA
Sarcophilus harrisii,Hippocampus,N/mg,NA,19940.063091482647,NA,NA
Sarcophilus harrisii,Hippocampus,Structure mass (g),NA,0.634,NA,NA
Sarcophilus harrisii,Pons + Medulla,C,NA,90230000,NA,NA
Sarcophilus harrisii,Pons + Medulla,I,NA,1912876,NA,NA
Sarcophilus harrisii,Pons + Medulla,I/C,NA,0.0212,NA,NA
Sarcophilus harrisii,Pons + Medulla,I/N,NA,0.29160935350756534,NA,NA
Sarcophilus harrisii,Pons + Medulla,I/mg,NA,1677.961403508772,NA,NA
Sarcophilus harrisii,Pons + Medulla,N,NA,6559721,NA,NA
Sarcophilus harrisii,Pons + Medulla,N/mg,NA,5754.141228070175,NA,NA
Sarcophilus harrisii,Pons + Medulla,Structure mass (g),NA,1.14,NA,NA
Sarcophilus harrisii,Rest of brain,C,NA,276752500,NA,NA
Sarcophilus harrisii,Rest of brain,I,NA,5590400.5,NA,NA
Sarcophilus harrisii,Rest of brain,I/C,NA,0.0202,NA,NA
Sarcophilus harrisii,Rest of brain,I/N,NA,0.2666397136599565,NA,NA
Sarcophilus harrisii,Rest of brain,I/mg,NA,1780.3823248407643,NA,NA
Sarcophilus harrisii,Rest of brain,N,NA,20966121,NA,NA
Sarcophilus harrisii,Rest of brain,N/mg,NA,6677.108598726115,NA,NA
Sarcophilus harrisii,Rest of brain,Structure mass (g),NA,3.14,NA,NA
Sarcophilus harrisii,Whole brain,C,NA,1450131000,NA,NA
Sarcophilus harrisii,Whole brain,I,NA,22912069.8,NA,NA
Sarcophilus harrisii,Whole brain,I/C,NA,0.0158,NA,NA
Sarcophilus harrisii,Whole brain,I/N,NA,0.03302903795852209,NA,NA
Sarcophilus harrisii,Whole brain,I/mg,NA,2337.4892674964294,NA,NA
Sarcophilus harrisii,Whole brain,N,NA,693694737,NA,NA
Sarcophilus harrisii,Whole brain,N/mg,NA,70770.73423791063,NA,NA
Sarcophilus harrisii,Whole brain,Structure mass (g),NA,9.802,NA,NA
Sus scrofa,Cerebellum,C,NA,2207031250,NA,NA
Sus scrofa,Cerebellum,I,NA,85632812.5,NA,NA
Sus scrofa,Cerebellum,I/C,NA,0.0388,NA,NA
Sus scrofa,Cerebellum,I/N,NA,0.04608076009501187,NA,NA
Sus scrofa,Cerebellum,I/mg,NA,10535.533033956694,NA,NA
Sus scrofa,Cerebellum,N,NA,1858320312.5000002,NA,NA
Sus scrofa,Cerebellum,N/mg,NA,228631.92821112208,NA,NA
Sus scrofa,Cerebellum,Structure mass (g),NA,8.128,NA,NA
Sus scrofa,"Cerebral Cx, total - hp",C,NA,3330354380,NA,NA
Sus scrofa,"Cerebral Cx, total - hp",I,NA,359715940,NA,NA
Sus scrofa,"Cerebral Cx, total - hp",I/C,NA,0.10801131019576361,NA,NA
Sus scrofa,"Cerebral Cx, total - hp",I/N,NA,1.2440785935635823,NA,NA
Sus scrofa,"Cerebral Cx, total - hp",I/mg,NA,8931.716243730447,NA,NA
Sus scrofa,"Cerebral Cx, total - hp",N,NA,289142456,NA,NA
Sus scrofa,"Cerebral Cx, total - hp",N/mg,NA,7179.382628991409,NA,NA
Sus scrofa,"Cerebral Cx, total - hp",Structure mass (g),NA,40.274,NA,NA
Sus scrofa,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,3476643442,NA,NA
Sus scrofa,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,381849476,NA,NA
Sus scrofa,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.10983279774595879,NA,NA
Sus scrofa,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,1.264213230160414,NA,NA
Sus scrofa,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,9048.136960333633,NA,NA
Sus scrofa,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,302045151,NA,NA
Sus scrofa,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,7157.128832756742,NA,NA
Sus scrofa,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,42.202,NA,NA
Sus scrofa,Hippocampus,C,NA,146289062,NA,NA
Sus scrofa,Hippocampus,I,NA,22133535.0806,NA,NA
Sus scrofa,Hippocampus,I/C,NA,0.15130000000000002,NA,NA
Sus scrofa,Hippocampus,I/N,NA,1.715419501133787,NA,NA
Sus scrofa,Hippocampus,I/mg,NA,11480.0493156639,NA,NA
Sus scrofa,Hippocampus,N,NA,12902695.2684,NA,NA
Sus scrofa,Hippocampus,N/mg,NA,6692.269330082988,NA,NA
Sus scrofa,Hippocampus,Structure mass (g),NA,1.928,NA,NA
Sus scrofa,Pons + Medulla,C,NA,302343750,NA,NA
Sus scrofa,Pons + Medulla,I,NA,38669765.62499999,NA,NA
Sus scrofa,Pons + Medulla,I/C,NA,0.12789999999999999,NA,NA
Sus scrofa,Pons + Medulla,I/N,NA,3.254452926208651,NA,NA
Sus scrofa,Pons + Medulla,I/mg,NA,8083.144988503343,NA,NA
Sus scrofa,Pons + Medulla,N,NA,11882109.375,NA,NA
Sus scrofa,Pons + Medulla,N/mg,NA,2483.718514841137,NA,NA
Sus scrofa,Pons + Medulla,Structure mass (g),NA,4.784,NA,NA
Sus scrofa,Rest of brain,C,NA,1155531250,NA,NA
Sus scrofa,Rest of brain,I,NA,130002796,NA,NA
Sus scrofa,Rest of brain,I/C,NA,0.11250478600210942,NA,NA
Sus scrofa,Rest of brain,I/N,NA,2.2129958997983135,NA,NA
Sus scrofa,Rest of brain,I/mg,NA,9386.483465703972,NA,NA
Sus scrofa,Rest of brain,N,NA,58745159,NA,NA
Sus scrofa,Rest of brain,N/mg,NA,4241.527725631769,NA,NA
Sus scrofa,Rest of brain,Structure mass (g),NA,13.85,NA,NA
Sus scrofa,Whole brain,C,NA,6839205942,NA,NA
Sus scrofa,Whole brain,I,NA,597485084,NA,NA
Sus scrofa,Whole brain,I/C,NA,0.08736176232547788,NA,NA
Sus scrofa,Whole brain,I/N,NA,0.2692452903462127,NA,NA
Sus scrofa,Whole brain,I/mg,NA,9309.521408538485,NA,NA
Sus scrofa,Whole brain,N,NA,2219110623,NA,NA
Sus scrofa,Whole brain,N/mg,NA,34576.35747896541,NA,NA
Sus scrofa,Whole brain,Structure mass (g),NA,64.18,NA,NA
Tragelaphus strepsiceros,Cerebellum,C,NA,5308593750,NA,NA
Tragelaphus strepsiceros,Cerebellum,I,NA,96616406.25,NA,NA
Tragelaphus strepsiceros,Cerebellum,I/C,NA,0.0182,NA,NA
Tragelaphus strepsiceros,Cerebellum,I/N,NA,0.023900196979645433,NA,NA
Tragelaphus strepsiceros,Cerebellum,I/mg,NA,3040.5465209592144,NA,NA
Tragelaphus strepsiceros,Cerebellum,N,NA,4042494140.6250005,NA,NA
Tragelaphus strepsiceros,Cerebellum,N/mg,NA,127218.47119288144,NA,NA
Tragelaphus strepsiceros,Cerebellum,Structure mass (g),NA,31.776,NA,NA
Tragelaphus strepsiceros,"Cerebral Cx, total - hp",C,NA,12392809376,NA,NA
Tragelaphus strepsiceros,"Cerebral Cx, total - hp",I,NA,799590074,NA,NA
Tragelaphus strepsiceros,"Cerebral Cx, total - hp",I/C,NA,0.06452048520559767,NA,NA
Tragelaphus strepsiceros,"Cerebral Cx, total - hp",I/N,NA,1.1007402947572411,NA,NA
Tragelaphus strepsiceros,"Cerebral Cx, total - hp",I/mg,NA,3771.580130563574,NA,NA
Tragelaphus strepsiceros,"Cerebral Cx, total - hp",N,NA,726411196,NA,NA
Tragelaphus strepsiceros,"Cerebral Cx, total - hp",N/mg,NA,3426.4032565423295,NA,NA
Tragelaphus strepsiceros,"Cerebral Cx, total - hp",Structure mass (g),NA,212.004,NA,NA
Tragelaphus strepsiceros,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,12927965626,NA,NA
Tragelaphus strepsiceros,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,828916636,NA,NA
Tragelaphus strepsiceros,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.06411810334125033,NA,NA
Tragelaphus strepsiceros,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,1.0982308772478537,NA,NA
Tragelaphus strepsiceros,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,3718.115349421369,NA,NA
Tragelaphus strepsiceros,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,754774477,NA,NA
Tragelaphus strepsiceros,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,3385.549820579528,NA,NA
Tragelaphus strepsiceros,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,222.94,NA,NA
Tragelaphus strepsiceros,Hippocampus,C,NA,535156250,NA,NA
Tragelaphus strepsiceros,Hippocampus,I,NA,29326562.5,NA,NA
Tragelaphus strepsiceros,Hippocampus,I/C,NA,0.0548,NA,NA
Tragelaphus strepsiceros,Hippocampus,I/N,NA,1.0339622641509434,NA,NA
Tragelaphus strepsiceros,Hippocampus,I/mg,NA,2681.6534839063643,NA,NA
Tragelaphus strepsiceros,Hippocampus,N,NA,28363281.25,NA,NA
Tragelaphus strepsiceros,Hippocampus,N/mg,NA,2593.5699753108997,NA,NA
Tragelaphus strepsiceros,Hippocampus,Structure mass (g),NA,10.936,NA,NA
Tragelaphus strepsiceros,Pons + Medulla,C,NA,759375000,NA,NA
Tragelaphus strepsiceros,Pons + Medulla,I,NA,86647502,NA,NA
Tragelaphus strepsiceros,Pons + Medulla,I/C,NA,0.11410370633744855,NA,NA
Tragelaphus strepsiceros,Pons + Medulla,I/N,NA,3.946033734665414,NA,NA
Tragelaphus strepsiceros,Pons + Medulla,I/mg,NA,4710.1273102848445,NA,NA
Tragelaphus strepsiceros,Pons + Medulla,N,NA,21958125,NA,NA
Tragelaphus strepsiceros,Pons + Medulla,N/mg,NA,1193.6358447488585,NA,NA
Tragelaphus strepsiceros,Pons + Medulla,Structure mass (g),NA,18.396,NA,NA
Tragelaphus strepsiceros,Rest of brain,C,NA,3515369752,NA,NA
Tragelaphus strepsiceros,Rest of brain,I,NA,276775864,NA,NA
Tragelaphus strepsiceros,Rest of brain,I/C,NA,0.07873307319735964,NA,NA
Tragelaphus strepsiceros,Rest of brain,I/N,NA,2.6689874739319497,NA,NA
Tragelaphus strepsiceros,Rest of brain,I/mg,NA,4484.669518439303,NA,NA
Tragelaphus strepsiceros,Rest of brain,N,NA,103700698,NA,NA
Tragelaphus strepsiceros,Rest of brain,N/mg,NA,1680.2887095728822,NA,NA
Tragelaphus strepsiceros,Rest of brain,Structure mass (g),NA,61.716,NA,NA
Tragelaphus strepsiceros,Whole brain,C,NA,21751929128,NA,NA
Tragelaphus strepsiceros,Whole brain,I,NA,1202308906,NA,NA
Tragelaphus strepsiceros,Whole brain,I/C,NA,0.055273667862973004,NA,NA
Tragelaphus strepsiceros,Whole brain,I/N,NA,0.2453206352618593,NA,NA
Tragelaphus strepsiceros,Whole brain,I/mg,NA,3799.580655559488,NA,NA
Tragelaphus strepsiceros,Whole brain,N,NA,4900969316,NA,NA
Tragelaphus strepsiceros,Whole brain,N/mg,NA,15488.222796683016,NA,NA
Tragelaphus strepsiceros,Whole brain,Structure mass (g),NA,316.432,NA,NA
Ursus arctos,Cerebellum,C,NA,11550000000,NA,NA
Ursus arctos,Cerebellum,I,NA,188264999.99999997,NA,NA
Ursus arctos,Cerebellum,I/C,NA,0.0163,NA,NA
Ursus arctos,Cerebellum,I/N,NA,0.0203458233890467,NA,NA
Ursus arctos,Cerebellum,I/mg,NA,4173.8349665233,NA,NA
Ursus arctos,Cerebellum,N,NA,9253250478,NA,NA
Ursus arctos,Cerebellum,N/mg,NA,205144.55899436882,NA,NA
Ursus arctos,Cerebellum,Structure mass (g),NA,45.106,NA,NA
Ursus arctos,"Cerebral cortex, total (GM+WM+hippoc)",C,NA,10404967500,NA,NA
Ursus arctos,"Cerebral cortex, total (GM+WM+hippoc)",I,NA,843842864.2499999,NA,NA
Ursus arctos,"Cerebral cortex, total (GM+WM+hippoc)",I/C,NA,0.08109999999999999,NA,NA
Ursus arctos,"Cerebral cortex, total (GM+WM+hippoc)",I/N,NA,3.3623354189735424,NA,NA
Ursus arctos,"Cerebral cortex, total (GM+WM+hippoc)",I/mg,NA,3801.0939831081078,NA,NA
Ursus arctos,"Cerebral cortex, total (GM+WM+hippoc)",N,NA,250969269.6,NA,NA
Ursus arctos,"Cerebral cortex, total (GM+WM+hippoc)",N/mg,NA,1130.4922054054055,NA,NA
Ursus arctos,"Cerebral cortex, total (GM+WM+hippoc)",Structure mass (g),NA,222,NA,NA
Ursus arctos,"Cerebral cortex, total -hp",C,NA,10147192500,NA,NA
Ursus arctos,"Cerebral cortex, total -hp",I,NA,835113942.75,NA,NA
Ursus arctos,"Cerebral cortex, total -hp",I/C,NA,0.0823,NA,NA
Ursus arctos,"Cerebral cortex, total -hp",I/N,NA,3.4457597321137565,NA,NA
Ursus arctos,"Cerebral cortex, total -hp",I/mg,NA,3833.0836863726076,NA,NA
Ursus arctos,"Cerebral cortex, total -hp",N,NA,242359888,NA,NA
Ursus arctos,"Cerebral cortex, total -hp",N/mg,NA,1112.405966860972,NA,NA
Ursus arctos,"Cerebral cortex, total -hp",Structure mass (g),NA,217.87,NA,NA
Ursus arctos,Hippocampus,C,NA,257775000,NA,NA
Ursus arctos,Hippocampus,I,NA,8815905,NA,NA
Ursus arctos,Hippocampus,I/C,NA,0.0342,NA,NA
Ursus arctos,Hippocampus,I/N,NA,1.0239881329461278,NA,NA
Ursus arctos,Hippocampus,I/mg,NA,2134.601694915254,NA,NA
Ursus arctos,Hippocampus,N,NA,8609382,NA,NA
Ursus arctos,Hippocampus,N/mg,NA,2084.5961259079904,NA,NA
